Rank,File,Line,Element,Suspiciousness,Formula
1,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,10,,0.500000,jaccard
2,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,11,,0.500000,jaccard
3,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,13,,0.500000,jaccard
4,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,5,,0.333333,jaccard
5,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,7,,0.333333,jaccard
6,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,5,,0.333333,jaccard
7,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,6,,0.333333,jaccard
8,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,8,,0.333333,jaccard
9,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,10,,0.333333,jaccard
10,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\equilateral.py,8,,0.000000,jaccard
11,C:\Users\Alessandro\Desktop\PyFault\examples\ex1\src\isosceles.py,11,,0.000000,jaccard
